id;nama;divisi;jabatan;ipk
0;christy;Bidang Pergerakan;Ketua Divisi;3.53
1;octavia;Bidang Pergerakan;Staff;2.68
2;aji;Bidang Pergerakan;Staff;2.77
3;artha;Bidang Pergerakan;Staff;3.27
4;halim;Bidang Pergerakan;Staff;2.55
5;hanna;Bidang Pergerakan;Staff;3.05
6;fatmawati;Bidang Pergerakan;Staff;3.83
7;wulandari;Bidang Pergerakan;Staff;3.76
8;anindita;Bidang Pergerakan;Staff;2.7
9;dahlia;Bidang Pergerakan;Staff;3.29
10;arisandi;Bidang Pergerakan;Staff;3.89
11;puji;Bidang Pergerakan;Staff;3.81
12;hesti;Bidang Pergerakan;Staff;3.11
13;trisnawati;Bidang Pergerakan;Staff;2.63
14;lidia;Bidang Pergerakan;Staff;3.57
15;noviani;Bidang Pergerakan;Staff;3.1
16;annisa;Bidang Pergerakan;Staff;3.93
17;ihsan;Bidang Pergerakan;Staff;3.86
18;farah;Bidang Pergerakan;Staff;2.54
19;sanjaya;Bidang Pergerakan;Staff;2.57
20;fitriani;Bidang Analisis;Ketua Divisi;2.77
21;indri;Bidang Analisis;Staff;3.25
22;bangun;Bidang Analisis;Staff;3.28
23;indrawati;Bidang Analisis;Staff;3.3
24;lutfi;Bidang Analisis;Staff;3.82
25;rian;Bidang Analisis;Staff;2.58
26;dedi;Bidang Analisis;Staff;3.55
27;anang;Bidang Analisis;Staff;2.85
28;wuri;Bidang Analisis;Staff;2.77
29;riski;Bidang Analisis;Staff;2.79
30;nani;Bidang Analisis;Staff;2.67
31;nurul;Bidang Analisis;Staff;3.3
32;deri;Bidang Analisis;Staff;3.61
33;dika;Bidang Analisis;Staff;3.24
34;imam;Bidang Analisis;Staff;3.61
35;titik;Bidang Kemasyarakatan;Ketua Divisi;2.92
36;purwanti;Bidang Kemasyarakatan;Staff;3.54
37;akhmad;Bidang Kemasyarakatan;Staff;3.03
38;syah;Bidang Kemasyarakatan;Staff;3.43
39;ningsih;Bidang Kemasyarakatan;Staff;3.04
40;lestari;Bidang Kemasyarakatan;Staff;2.83
41;dinda;Bidang Kemasyarakatan;Staff;3.39
42;syarif;Bidang Kemasyarakatan;Staff;3.35
43;panji;Bidang Kemasyarakatan;Staff;3.23
44;trisna;Bidang Kemasyarakatan;Staff;3.63
45;rasyid;Bidang Kemasyarakatan;Staff;3.58
46;baiq;Bidang Kemasyarakatan;Staff;3.35
47;rio;Bidang Kemasyarakatan;Staff;2.6
48;mochamad;Bidang Kemasyarakatan;Staff;3.45
49;yan;Bidang Kemasyarakatan;Staff;2.7
50;julianti;Bidang Kemasyarakatan;Staff;3.02
51;elisabeth;Bidang Kemasyarakatan;Staff;2.73
52;purwanto;Bidang Kemasyarakatan;Staff;2.65
53;ratna;Bidang Kemasyarakatan;Staff;2.86
54;tri;Bidang Kemasyarakatan;Staff;2.96
55;wahyudi;Bidang Kemasyarakatan;Staff;3.06
56;cahyo;Bidang Kemasyarakatan;Staff;2.53
57;ikhsan;Bidang Kemasyarakatan;Staff;2.9
58;nurjanah;Bidang Kemasyarakatan;Staff;2.77
59;suryadi;Bidang Kemasyarakatan;Staff;3.38
60;olivia;Bidang Relasi;Ketua Divisi;3.55
61;diah;Bidang Relasi;Staff;3.0
62;tarigan;Bidang Relasi;Staff;2.66
63;nanang;Bidang Relasi;Staff;3.5
64;nuraeni;Bidang Relasi;Staff;3.76
65;ajie;Bidang Relasi;Staff;2.71
66;mulia;Bidang Relasi;Staff;2.71
67;miftahul;Bidang Relasi;Staff;3.34
68;fitra;Bidang Relasi;Staff;3.44
69;kukuh;Bidang Relasi;Staff;2.92
70;faizah;Bidang Relasi;Staff;3.04
71;tanjung;Bidang Relasi;Staff;2.72
72;didi;Bidang Relasi;Staff;3.36
73;imelda;Bidang Relasi;Staff;3.21
74;riza;Bidang Relasi;Staff;3.19
75;andika;Bidang Kemahasiswaan;Ketua Divisi;3.12
76;iin;Bidang Kemahasiswaan;Staff;3.11
77;ita;Bidang Kemahasiswaan;Staff;2.83
78;ady;Bidang Kemahasiswaan;Staff;2.6
79;dodi;Bidang Kemahasiswaan;Staff;3.88
80;lilik;Bidang Kemahasiswaan;Staff;3.54
81;andy;Bidang Kemahasiswaan;Staff;3.22
82;pipit;Bidang Kemahasiswaan;Staff;3.29
83;hery;Bidang Kemahasiswaan;Staff;3.57
84;andriyani;Bidang Kemahasiswaan;Staff;2.77
85;sapto;Bidang Kemahasiswaan;Staff;3.29
86;fransiska;Bidang Kemahasiswaan;Staff;2.96
87;susanti;Bidang Kemahasiswaan;Staff;3.0
88;arifin;Bidang Kemahasiswaan;Staff;3.01
89;ismail;Bidang Kemahasiswaan;Staff;3.04
90;danu;Bidang Kemahasiswaan;Staff;3.73
91;edi;Bidang Kemahasiswaan;Staff;2.86
92;rahmad;Bidang Kemahasiswaan;Staff;3.98
93;eva;Bidang Kemahasiswaan;Staff;3.29
94;rahmawati;Bidang Kemahasiswaan;Staff;3.78
95;atik;Bidang Kemahasiswaan;Staff;2.68
96;puspasari;Bidang Kemahasiswaan;Staff;3.65
97;mochammad;Bidang Kemahasiswaan;Staff;2.59
98;pradipta;Bidang Kemahasiswaan;Staff;3.49
99;christin;Bidang Kemahasiswaan;Staff;3.55
