id;nama;divisi;jabatan;ipk
0;rahmah;Divisi Acara;Ketua Divisi;2.67
1;dewa;Divisi Acara;Staff;2.72
2;yulianti;Divisi Acara;Staff;3.48
3;permatasari;Divisi Acara;Staff;2.57
4;sigit;Divisi Acara;Staff;2.75
5;putri;Divisi Acara;Staff;3.66
6;mahardika;Divisi Acara;Staff;3.67
7;eny;Divisi Acara;Staff;3.8
8;maryati;Divisi Acara;Staff;2.53
9;andreas;Divisi Acara;Staff;3.4
10;andika;Divisi Acara;Staff;2.78
11;ratnawati;Divisi Acara;Staff;2.69
12;anggia;Divisi Acara;Staff;2.53
13;desi;Divisi Acara;Staff;3.07
14;nyoman;Divisi Acara;Staff;3.98
15;mochamad;Divisi Acara;Staff;3.9
16;eko;Divisi Acara;Staff;3.04
17;utami;Divisi Acara;Staff;2.68
18;yusnita;Divisi Acara;Staff;3.07
19;novia;Divisi Acara;Staff;3.07
20;nuraini;Divisi Acara;Staff;2.7
21;haryo;Divisi Acara;Staff;3.07
22;bobby;Divisi Acara;Staff;3.47
23;hastuti;Divisi Acara;Staff;3.0
24;nanda;Divisi Acara;Staff;3.05
25;erwin;Divisi Acara;Staff;3.48
26;reni;Divisi Acara;Staff;3.03
27;ismail;Divisi Acara;Staff;2.85
28;sanjaya;Divisi Acara;Staff;3.85
29;santi;Divisi Acara;Staff;2.87
30;hendra;Divisi Acara;Staff;3.41
31;lina;Divisi Acara;Staff;2.71
32;yuliana;Divisi Acara;Staff;2.61
33;purba;Divisi Acara;Staff;3.92
34;yuniar;Divisi Acara;Staff;3.38
35;yuda;Divisi Acara;Staff;2.62
36;aris;Divisi Acara;Staff;3.35
37;kurniawati;Divisi Acara;Staff;3.2
38;adhi;Divisi Acara;Staff;2.77
39;bintang;Divisi Acara;Staff;2.58
40;suci;Divisi Acara;Staff;3.78
41;ambarwati;Divisi Acara;Staff;2.78
42;dony;Divisi Acara;Staff;3.08
43;riski;Divisi Acara;Staff;3.47
44;friska;Divisi Acara;Staff;3.54
45;ginting;Divisi Acara;Staff;3.6
46;yulita;Divisi Acara;Staff;3.64
47;endah;Divisi Acara;Staff;3.96
48;siska;Divisi Acara;Staff;2.96
49;aries;Divisi Acara;Staff;3.25
50;astrid;Divisi Acara;Staff;3.74
51;melisa;Divisi Acara;Staff;2.62
52;putra;Divisi Acara;Staff;3.98
53;budi;Divisi Acara;Staff;3.16
54;lia;Divisi Acara;Staff;3.56
