id;nama;divisi;jabatan;ipk
0;wulan;Divisi Acara;Ketua Divisi;3.93
1;irawan;Divisi Acara;Staff;2.99
2;ardi;Divisi Acara;Staff;3.47
3;wirawan;Divisi Acara;Staff;3.6
4;wahyuni;Divisi Acara;Staff;3.82
5;baiq;Divisi Acara;Staff;3.24
6;luh;Divisi Acara;Staff;3.51
7;siska;Divisi Acara;Staff;3.66
8;maulida;Divisi Acara;Staff;2.88
9;riska;Divisi Acara;Staff;3.03
10;octavia;Divisi Acara;Staff;3.59
11;akbar;Divisi Acara;Staff;2.79
12;paramita;Divisi Acara;Staff;3.97
13;sofyan;Divisi Acara;Staff;3.24
14;rian;Divisi Acara;Staff;3.31
15;linda;Divisi Acara;Staff;3.58
16;mutiara;Divisi Acara;Staff;2.85
17;prima;Divisi Acara;Staff;2.89
18;arini;Divisi Acara;Staff;3.36
19;rahmad;Divisi Acara;Staff;3.85
20;arif;Divisi Acara;Staff;3.4
21;muslim;Divisi Acara;Staff;3.93
22;febriana;Divisi Acara;Staff;3.77
23;hasan;Divisi Acara;Staff;3.72
24;santi;Divisi Acara;Staff;2.69
25;titis;Divisi Acara;Staff;3.03
26;asih;Divisi Acara;Staff;3.01
27;aminah;Divisi Acara;Staff;2.66
28;kartini;Divisi Acara;Staff;2.93
29;ginting;Divisi Acara;Staff;3.37
30;amelia;Divisi Acara;Staff;3.77
31;erni;Divisi Acara;Staff;3.28
32;faizal;Divisi Acara;Staff;3.06
33;dessy;Divisi Acara;Staff;2.76
34;indriyani;Divisi Acara;Staff;3.63
35;lisa;Divisi Acara;Staff;3.46
36;rudi;Divisi Acara;Staff;3.22
37;carolina;Divisi Acara;Staff;3.22
38;david;Divisi Acara;Staff;2.94
39;chandra;Divisi Acara;Staff;3.44
40;diyah;Divisi Acara;Staff;3.08
41;tika;Divisi Acara;Staff;2.72
42;sirait;Divisi Acara;Staff;2.66
43;risna;Divisi Acara;Staff;2.62
44;riri;Divisi Acara;Staff;2.79
45;evi;Divisi Acara;Staff;2.52
46;yun;Divisi Acara;Staff;3.83
47;wijaya;Divisi Acara;Staff;2.74
48;rahmadhani;Divisi Acara;Staff;3.47
49;titik;Divisi Acara;Staff;2.98
50;damayanti;Divisi Acara;Staff;3.04
51;margaretha;Divisi Acara;Staff;2.84
52;pradipta;Divisi Acara;Staff;2.68
53;susilowati;Divisi Acara;Staff;3.62
54;regina;Divisi Acara;Staff;2.63
55;irwan;Divisi Acara;Staff;3.19
56;bima;Divisi Acara;Staff;3.13
57;fajar;Divisi Acara;Staff;2.53
58;parulian;Divisi Acara;Staff;3.25
59;irene;Divisi Acara;Staff;3.45
60;mia;Divisi Acara;Staff;3.51
61;rosita;Divisi Acara;Staff;2.5
62;setyowati;Divisi Acara;Staff;3.13
63;romi;Divisi Acara;Staff;3.96
