id;nama;divisi;jabatan;ipk
0;wulan;Divisi Acara;Ketua Divisi;3.93
1;irawan;Divisi Acara;Staff;2.99
2;ardi;Divisi Acara;Staff;3.47
3;wirawan;Divisi Acara;Staff;3.6
4;wahyuni;Divisi Acara;Staff;3.82
5;baiq;Divisi Acara;Staff;3.24
6;luh;Divisi Acara;Staff;3.51
7;siska;Divisi Acara;Staff;3.66
8;maulida;Divisi Acara;Staff;2.88
9;riska;Divisi Acara;Staff;3.03
10;octavia;Divisi Acara;Staff;3.59
11;akbar;Divisi Acara;Staff;2.79
12;paramita;Divisi Acara;Staff;3.97
13;sofyan;Divisi Acara;Staff;3.24
14;rian;Divisi Acara;Staff;3.31
15;linda;Divisi Acara;Staff;3.58
16;mutiara;Divisi Acara;Staff;2.85
17;prima;Divisi Acara;Staff;2.89
18;arini;Divisi Acara;Staff;3.36
19;rahmad;Divisi Acara;Staff;3.85
20;arif;Divisi Acara;Staff;3.4
21;muslim;Divisi Acara;Staff;3.93
22;febriana;Divisi Acara;Staff;3.77
23;hasan;Divisi Acara;Staff;3.72
24;santi;Divisi Acara;Staff;2.69
25;titis;Divisi Acara;Staff;3.03
26;asih;Divisi Acara;Staff;3.01
27;aminah;Divisi Acara;Staff;2.66
28;kartini;Divisi Acara;Staff;2.93
29;ginting;Divisi Acara;Staff;3.37
30;amelia;Divisi Acara;Staff;3.77
31;erni;Divisi Acara;Staff;3.28
32;faizal;Divisi Acara;Staff;3.06
33;dessy;Divisi Acara;Staff;2.76
34;indriyani;Divisi Acara;Staff;3.63
35;lisa;Divisi Acara;Staff;3.46
36;rudi;Divisi Acara;Staff;3.22
37;carolina;Divisi Acara;Staff;3.22
38;david;Divisi Acara;Staff;2.94
39;chandra;Divisi Acara;Staff;3.44
40;diyah;Divisi Humas;Ketua Divisi;3.08
41;tika;Divisi Humas;Staff;2.72
42;sirait;Divisi Humas;Staff;2.66
43;risna;Divisi Humas;Staff;2.62
44;riri;Divisi Humas;Staff;2.79
45;evi;Divisi Humas;Staff;2.52
46;yun;Divisi Humas;Staff;3.83
47;wijaya;Divisi Humas;Staff;2.74
48;rahmadhani;Divisi Humas;Staff;3.47
49;titik;Divisi Humas;Staff;2.98
50;damayanti;Divisi Humas;Staff;3.04
51;margaretha;Divisi Humas;Staff;2.84
52;pradipta;Divisi Humas;Staff;2.68
53;susilowati;Divisi Humas;Staff;3.62
54;regina;Divisi Humas;Staff;2.63
55;irwan;Divisi Humas;Staff;3.19
56;bima;Divisi Humas;Staff;3.13
57;fajar;Divisi Humas;Staff;2.53
58;parulian;Divisi Humas;Staff;3.25
59;irene;Divisi Humas;Staff;3.45
60;mia;Divisi Humas;Staff;3.51
61;rosita;Divisi Humas;Staff;2.5
62;setyowati;Divisi Humas;Staff;3.13
63;romi;Divisi Humas;Staff;3.96
64;ibrahim;Divisi Humas;Staff;3.96
65;fera;Divisi Humas;Staff;3.9
66;paramitha;Divisi Humas;Staff;3.43
67;hanif;Divisi Humas;Staff;2.75
68;adipati;Divisi Humas;Staff;3.41
69;sukma;Divisi Humas;Staff;3.94
70;ajie;Divisi Humas;Staff;2.92
71;jannah;Divisi Humas;Staff;2.5
72;kusumawati;Divisi Humas;Staff;2.73
73;afriani;Divisi Humas;Staff;3.17
74;derry;Divisi Humas;Staff;3.74
75;megasari;Divisi Logistik;Ketua Divisi;2.81
76;anwar;Divisi Logistik;Staff;3.4
77;ade;Divisi Logistik;Staff;3.68
78;ina;Divisi Logistik;Staff;2.59
79;umi;Divisi Logistik;Staff;2.59
80;tuti;Divisi Logistik;Staff;2.98
81;faisal;Divisi Logistik;Staff;3.89
82;reni;Divisi Logistik;Staff;3.1
83;ketut;Divisi Logistik;Staff;3.68
84;fika;Divisi Logistik;Staff;2.93
85;hanifah;Divisi Logistik;Staff;3.76
86;ariyani;Divisi Logistik;Staff;3.8
87;sulistyowati;Divisi Logistik;Staff;2.59
88;saputra;Divisi Logistik;Staff;3.83
89;agustina;Divisi Logistik;Staff;3.51
90;agus;Divisi Logistik;Staff;3.49
91;mutia;Divisi Logistik;Staff;3.62
92;rachmat;Divisi Logistik;Staff;3.78
93;toni;Divisi Logistik;Staff;3.55
94;mustika;Divisi Logistik;Staff;3.0
95;laili;Divisi Logistik;Staff;3.92
96;widhi;Divisi Logistik;Staff;3.13
97;puspasari;Divisi Logistik;Staff;3.53
98;imam;Divisi Logistik;Staff;3.44
99;rudy;Divisi Logistik;Staff;2.78
